ACCIDENT_ID,LOCATE_ID_DISTRICT,LOCATE_ID_POLICE,ACCIDENT_MONTH,ACCIDENT_YEAR,ACCIDENT_COST,HUMAN_ADMIT,HUMAN_DEAD,ROADTYPE_ID,ROADSKIN_ID,ACDPOINT_ID,ATMOSPHERE_ID,LIGHT_ID,GIS_E,GIS_N,GIS_LAT,GIS_LNG,PERSON_GENDER,PERSON_AGE,PERSON_TYPE,PERSON_STATE,LOCATE_PROVINCE,LOCATE_DOMICILE,LOCATE_AREATYPE,HEALTH_DEADPLACE,HEALTH_EMSSEND
146130,100789,0,12,13,120000,2,0,1,1,3,1,1,606191,1479796,13.38385663,99.98073429,1,45,3,0,1079,1079,1,0,40
146131,100789,0,12,13,120000,2,0,1,1,3,1,1,606191,1479796,13.38385663,99.98073429,1,33,3,0,1079,1079,1,0,40
146132,100500,0,9,13,0,0,1,1,1,1,1,1,1043125,1853795,16.7043482,104.0889336,1,68,2,1,1053,1053,0,30,90
146133,100638,0,10,13,50000,0,1,1,1,2,1,1,604692,2193404,19.83383875,99.99974533,1,55,2,1,1064,1064,0,10,60
146134,100609,0,1,14,4000000,0,1,4,1,1,1,1,610885,1988969,17.98617536,100.0473133,1,20,2,1,1061,1061,0,30,50
146135,100229,0,1,14,4000000,0,1,1,90,90,90,1,836765,1616451,14.60044319,102.1253868,2,17,2,1,1038,1038,0,30,40
146136,100512,0,9,13,0,0,1,1,1,90,90,90,976115,1797194,16.2087327,103.4508689,1,55,2,1,1053,1053,0,10,20
146137,100639,0,11,13,0,0,1,1,1,1,1,1,646819,2241655,20.26702717,100.4058312,2,35,2,1,1064,1064,0,10,40
146138,100509,0,11,13,0,0,1,90,1,1,1,1,987829,1869925,16.86179558,103.5755764,2,2,1,1,1053,1053,0,10,50
146139,100336,0,11,13,2000,0,1,4,1,1,1,1,1126238,1705827,15.35305411,104.8260415,1,17,2,1,1042,1042,0,30,50
146140,100781,0,1,14,20000,0,1,2,1,1,1,2,630530,1526387,13.80408041,100.2076184,1,19,2,1,1077,1077,0,30,50
146141,100372,0,10,13,4000000,0,1,1,1,2,1,3,1112104,1762602,15.86718362,104.7091832,1,33,2,1,1045,1045,0,20,20
146142,100589,0,12,13,563200,0,1,90,90,90,90,90,565034,2117166,19.14662109,99.61843507,1,18,9,1,1059,1059,0,10,50
146143,100789,0,4,15,200000,4,0,1,1,1,1,1,612991,1484753,13.42842106,100.0437224,1,36,2,0,1079,1079,1,0,40
146144,100789,0,4,15,200000,4,0,1,1,1,1,1,612991,1484753,13.42842106,100.0437224,2,67,3,0,1079,1079,1,0,40
146145,100789,0,4,15,200000,4,0,1,1,1,1,1,612991,1484753,13.42842106,100.0437224,2,30,3,0,1072,1072,2,0,40
146146,100789,0,4,15,200000,4,0,1,1,1,1,1,612991,1484753,13.42842106,100.0437224,1,4,3,0,1079,1079,1,0,40
146147,100739,0,4,15,10000,1,0,4,1,3,1,1,727712,1811325,16.37241389,101.1318949,1,33,2,0,1073,1073,0,0,40
146148,100928,0,11,14,4000000,0,1,1,90,90,90,1,740670,756994,6.843503694,101.177744,1,67,2,1,1093,1093,0,30,20
146149,100852,0,5,15,59000,1,0,2,1,1,90,1,565277,1023992,9.263077507,99.5943171,1,29,2,0,1086,1086,1,0,50
146150,100562,0,11,15,59000,1,0,1,1,1,1,2,501479,2084287,18.85051086,99.01403978,2,31,2,0,1057,1072,2,0,50
146151,100752,0,12,15,0,1,0,4,1,3,1,1,583031,1525149,13.79465424,99.76817346,2,24,2,0,1074,1074,0,0,40
146152,100544,0,6,15,0,1,0,1,1,1,1,1,1094611,1819113,16.37988946,104.560789,1,37,2,0,1056,1056,0,0,30
146153,100830,0,5,15,4000000,0,1,1,1,1,1,3,8,100,0.000901938,94.51132777,1,87,1,1,1082,1082,0,30,60
146154,100788,0,3,15,59000,1,0,4,1,1,1,2,641228,1512847,13.68117484,100.3058968,1,21,2,0,1078,1078,0,0,40
146155,100800,0,4,15,4000000,0,1,4,1,1,1,3,566400,1274426,11.52794409,99.60891325,1,43,2,1,1081,1081,0,10,20
146156,100506,0,5,15,0,0,1,4,1,1,1,1,957941,1845179,16.64479113,103.2908227,1,5,1,1,1053,1053,0,10,40
146157,100502,0,5,15,0,1,0,1,1,1,90,3,952832,1836340,16.56609198,103.2412962,1,37,2,0,1053,1053,0,0,40
146158,100851,0,4,15,0,1,0,4,1,3,1,3,541590,1006914,9.108903244,99.37849803,1,25,2,0,1086,1086,1,0,40
146159,100209,0,1,16,2000,1,0,4,1,2,1,1,800089,1529246,13.81719391,101.7756895,1,73,2,0,1035,1035,0,0,50
146160,100209,0,1,16,1000,1,0,1,1,1,1,1,787260,1538750,13.90435008,101.6580964,2,18,2,0,1035,1035,0,0,50
146161,100562,0,11,15,59000,1,0,1,1,3,1,1,501450,2083912,18.84712169,99.01376421,1,3,3,0,1057,1057,0,0,20
146162,100541,0,5,15,45000,1,0,2,4,1,3,3,1047860,1976193,17.8051583,104.1638207,2,32,2,0,1055,1055,0,0,50
146163,100088,0,5,15,0,0,1,1,1,1,1,2,651701,1524878,13.78939928,100.4033649,1,25,2,1,1022,1022,1,10,90
146164,100851,0,4,15,59000,1,0,3,1,3,1,3,537632,1008481,9.123112215,99.34249144,1,19,2,0,1086,1086,0,0,50
146165,100557,0,1,16,20000,1,0,1,1,1,1,1,521559,2195063,19.85151275,99.20590596,2,14,3,0,1057,1057,0,0,50
146166,100211,0,1,16,10000,1,0,4,3,1,1,1,734247,1537373,13.89675859,101.1677138,1,12,2,0,1035,1035,0,0,40
