,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
73,0.55,0.248,139.98,0.0279,0.155,0.0,4,0.586,9,252627,-8.469,0.26,1,audio_features,spotify:track:28Lu2DHTsSjgszvZLbE2iX
74,0.595,0.21,89.538,0.0829,0.49,0.0,4,0.612,7,173446,-9.58,0.707,1,audio_features,spotify:track:5pQldwAtnxe6WWY7s05GUc
75,0.585,0.143,72.635,0.0741,0.0258,0.0,4,0.419,6,236987,-5.435,0.256,1,audio_features,spotify:track:65MOTX6uSFAnqXl7dlAuId
76,0.513,0.136,129.732,0.0346,0.699,0.0,4,0.608,4,270923,-4.198,0.285,1,audio_features,spotify:track:3fM2nCi0ncKoTUYeiHkPQ2
77,0.758,0.186,97.052,0.108,0.044,0.0,4,0.704,4,197667,-4.393,0.663,0,audio_features,spotify:track:5OepnJhqZoyJN8qWo2LZzy
78,0.8,0.334,160.078,0.165,0.0647,0.0,4,0.647,7,219200,-5.384,0.942,1,audio_features,spotify:track:0cqRj7pUJDkTCEsJkx8snD
79,0.717,0.121,173.8,0.0318,0.213,0.0,4,0.407,11,284138,-5.54,0.396,1,audio_features,spotify:track:3YrKiQmCq64ZYeex4ifd17
80,0.738,0.292,159.145,0.247,0.0408,0.0,4,0.648,6,226160,-5.883,0.603,0,audio_features,spotify:track:4pLwZjInHj3SimIyN9SnOz
81,0.917,0.0839,125.042,0.189,0.0409,0.0,4,0.709,9,191139,-3.315,0.515,1,audio_features,spotify:track:7nKQ5WAcjnG48knyLuo8gO
82,0.524,0.111,95.01,0.0338,0.414,0.0,4,0.748,8,244960,-5.599,0.661,1,audio_features,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw
83,0.702,0.293,135.104,0.0334,0.0223,0.0,4,0.636,0,176026,-5.352,0.516,0,audio_features,spotify:track:2ujA6F1cpk3m8lsPE5aKua
84,0.594,0.0873,113.843,0.0565,0.0254,3.03e-06,4,0.386,1,271520,-6.186,0.187,1,audio_features,spotify:track:31MkGwj0SWgZaTvEt5Hgxv
85,0.8,0.133,163.869,0.12,0.0833,6.6e-06,4,0.264,7,285122,-5.944,0.409,1,audio_features,spotify:track:2hwjzwVgSCtCWJnnQmk0sf
86,0.722,0.0935,102.972,0.0945,0.00579,0.0,4,0.827,6,212600,-4.804,0.589,0,audio_features,spotify:track:67BbMuItfrHmaNqDxBPF7c
87,0.378,0.28,100.418,0.438,0.835,0.0,4,0.609,4,233720,-9.828,0.515,1,audio_features,spotify:track:3hB5DgAiMAQ4DzYbsMq1IT
88,0.422,0.0987,119.966,0.0416,0.258,0.0,4,0.758,1,272000,-8.712,0.28,0,audio_features,spotify:track:5mVeBv0bUZPJU7kPZcm594
89,0.598,0.112,140.987,0.0539,0.0714,0.0,4,0.763,11,190678,-6.865,0.182,1,audio_features,spotify:track:1yxgsra98r3qAtxqiGZPiX
90,0.669,0.207,156.11,0.0393,0.289,7.75e-06,4,0.476,10,263579,-6.216,0.375,1,audio_features,spotify:track:79izskDjIFirB2o7uD2Jfk
91,0.667,0.106,112.956,0.134,0.0575,0.0,4,0.741,10,223504,-5.445,0.595,1,audio_features,spotify:track:1louJpMmzEicAn7lzDalPW
92,0.817,0.187,98.064,0.109,0.075,0.0,4,0.696,1,216409,-3.862,0.782,1,audio_features,spotify:track:6kex4EBAj0WHXDKZMEJaaF
93,0.478,0.0892,78.015,0.048,0.553,0.0,4,0.711,4,274615,-8.943,0.424,0,audio_features,spotify:track:1pjVBWRTyPG3WXlxTNYT3U
94,0.876,0.147,123.994,0.059,0.0428,0.0,4,0.69,2,192112,-4.159,0.493,1,audio_features,spotify:track:3b5Li4QKDVBx1x7fQuu54a
95,0.946,0.923,110.024,0.126,0.00181,1.04e-06,4,0.594,8,231860,-3.408,0.665,1,audio_features,spotify:track:7KlTFTpy7dXLzr2NtLkvG6
96,0.574,0.083,174.152,0.0454,0.196,0.0,4,0.578,2,261240,-6.209,0.301,1,audio_features,spotify:track:0kN8xEmgMW9mh7UmDYHlJP
97,0.683,0.16,100.005,0.0325,0.164,1.53e-06,4,0.781,0,203427,-4.258,0.722,1,audio_features,spotify:track:6Upu6yjkdi0DVI8E3IBZEU
98,0.85,0.412,124.882,0.0694,0.00264,0.0,4,0.657,5,241467,-3.157,0.375,0,audio_features,spotify:track:1qAPA8TooLVEqAZ58fhcrt
99,0.595,0.245,169.737,0.0318,0.0721,2.06e-05,4,0.478,7,232606,-7.926,0.365,1,audio_features,spotify:track:0NtmQETo6rL2TNhNNXkeDk
100,0.469,0.0398,77.019,0.0363,0.00454,2.25e-06,4,0.622,3,217973,-6.798,0.679,0,audio_features,spotify:track:72jCZdH0Lhg93z6Z4hBjgj
101,0.867,0.275,120.022,0.0672,0.0406,0.0,4,0.709,1,199563,-3.258,0.877,1,audio_features,spotify:track:1Bjy9ZtwMle3uhVgoBgiGN
102,0.526,0.126,78.643,0.0484,0.428,0.0,5,0.314,0,192441,-4.686,0.195,0,audio_features,spotify:track:1HYzRuWjmS9LXCkdVHi25K
103,0.512,0.128,196.121,0.133,0.0162,7.04e-05,4,0.53,8,165200,-7.094,0.401,1,audio_features,spotify:track:20H2Hd5AkUcRjB4yL3UQtJ
104,0.619,0.0455,71.968,0.0401,0.0276,0.0,4,0.589,6,256000,-8.116,0.592,1,audio_features,spotify:track:3ALshyY9fzcWICITSHC3km
105,0.451,0.325,117.973,0.0585,0.0631,1.3e-05,4,0.735,0,245200,-8.374,0.0862,1,audio_features,spotify:track:3NdDpSvN911VPGivFlV5d0
106,0.664,0.106,140.06,0.0741,0.0709,0.0056,4,0.553,8,220440,-7.417,0.467,1,audio_features,spotify:track:3fVnlF4pGqWI9flVENcT28
107,0.791,0.118,94.933,0.0402,0.00245,0.00258,4,0.588,7,231000,-5.595,0.487,1,audio_features,spotify:track:0ug5NqcwcFR2xrfTkc7k8e
108,0.569,0.0674,86.983,0.0503,0.31,0.000101,4,0.769,6,213280,-4.679,0.755,0,audio_features,spotify:track:6QCNYRB8RHXGaRlITuWRgL
109,0.587,0.368,93.002,0.11,0.229,0.0,4,0.681,6,209346,-7.638,0.64,1,audio_features,spotify:track:6FemVsNUb2lzWsDRm14FUJ
110,0.857,0.0684,123.041,0.0414,0.0579,0.0,4,0.712,0,224467,-4.194,0.338,1,audio_features,spotify:track:2nChvM2Tyv1ib8AvfCJcOe
111,0.601,0.144,140.012,0.0307,0.288,0.0,4,0.541,7,284768,-5.984,0.395,1,audio_features,spotify:track:31NK9ucTVypJ7txSyNq52G
112,0.41,0.119,135.005,0.0316,0.563,0.0,4,0.685,7,201872,-9.358,0.533,1,audio_features,spotify:track:1OlInnJssr9pXY0Ooa0SDT
113,0.563,0.179,100.017,0.134,0.621,0.0,4,0.728,1,217707,-8.053,0.352,0,audio_features,spotify:track:68EMU2RD1ECNeOeJ5qAXCV
114,0.448,0.106,95.05,0.0232,0.163,0.0,3,0.599,8,263400,-6.312,0.168,1,audio_features,spotify:track:0tgVpDi06FyKpA1z0VMD4v
115,0.598,0.1,105.803,0.0561,0.00543,0.0,4,0.614,10,129478,-6.335,0.565,0,audio_features,spotify:track:5XQMr19TL7Mfksq9zihbOu
116,0.658,0.0939,99.99,0.0304,0.0215,1.66e-06,4,0.653,2,221507,-6.428,0.219,1,audio_features,spotify:track:72jbDTw1piOOj770jWNeaG
117,0.445,0.184,78.998,0.0295,0.474,0.0,4,0.781,2,281560,-6.061,0.591,1,audio_features,spotify:track:1Slwb6dOYkBlWal1PGtnNg
118,0.795,0.219,96.023,0.0291,0.0872,0.000165,4,0.623,11,228750,-4.744,0.814,1,audio_features,spotify:track:2zTVmGKsggygR9cvw95Y8B
119,0.634,0.115,102.013,0.0654,0.232,0.0,4,0.679,5,210091,-5.024,0.498,0,audio_features,spotify:track:0dA2Mk56wEzDgegdC6R17g
120,0.557,0.0902,85.043,0.059,0.695,0.0,4,0.358,10,211467,-7.398,0.494,1,audio_features,spotify:track:5uCax9HTNlzGybIStD3vDh
121,0.618,0.104,125.036,0.0322,0.115,3.3e-06,4,0.624,8,197253,-4.868,0.122,1,audio_features,spotify:track:7bJwvubZZaoGE1AGEfu8Fi
122,0.57,0.138,169.984,0.0519,0.717,1.17e-05,4,0.637,4,278250,-6.185,0.375,1,audio_features,spotify:track:3F5jmTgXeY1zS2ATt4cR7L
123,0.476,0.305,97.621,0.0246,0.671,0.0157,3,0.595,7,264627,-7.863,0.357,1,audio_features,spotify:track:3XfygeAG5SFzEVaQJEKY49
124,0.76,0.127,150.0,0.0596,0.0066,0.0,4,0.618,6,221341,-4.312,0.541,1,audio_features,spotify:track:6lM6yIDZ7kxFsgQCCfaLE2
125,0.513,0.0894,139.979,0.0411,0.102,1.69e-06,4,0.744,2,211671,-9.492,0.353,0,audio_features,spotify:track:7q8jJ1XZEliBakZSUMFde5
126,0.903,0.158,129.986,0.0357,0.055,0.000225,4,0.726,7,211244,-2.277,0.958,0,audio_features,spotify:track:7AvXrOVEVRcfXxme2wo6Im
127,0.538,0.184,159.828,0.0462,0.75,0.0,4,0.589,10,195143,-5.665,0.659,1,audio_features,spotify:track:63rLjQUFTxemPqACev1by7
128,0.803,0.114,166.018,0.246,0.123,0.0,4,0.624,10,187973,-4.105,0.821,0,audio_features,spotify:track:4Hf7WnR761jpxPr5D46Bcd
129,0.391,0.297,134.021,0.242,0.469,4.13e-06,4,0.872,0,119133,-9.144,0.437,0,audio_features,spotify:track:7m9OqQk4RVRkw9JJdeAw96
130,0.716,0.101,119.938,0.0549,0.0196,1.83e-05,4,0.836,5,242510,-5.211,0.534,0,audio_features,spotify:track:2kVHAQKVtczchKctctzbtK
131,0.769,0.0854,103.006,0.0595,0.167,0.0,4,0.765,2,203057,-3.16,0.581,1,audio_features,spotify:track:1H2qNVjNn13tlpKv6MtiYn
132,0.871,0.0739,134.956,0.0891,0.148,0.0,4,0.59,11,191331,-3.353,0.304,0,audio_features,spotify:track:1839RWzPRZCVgvamu4sHSN
133,0.68,0.102,102.013,0.2,0.458,0.0,4,0.804,0,217413,-3.81,0.62,1,audio_features,spotify:track:3y7ByLZ05tluscOTRgEJ9Y
134,0.76,0.299,99.945,0.045,0.0797,0.0,4,0.654,0,200787,-3.669,0.41,0,audio_features,spotify:track:69bp2EbF7Q2rqc5N3ylezZ
