,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,track_id,Position,Track Name,Artist,Streams,date,track_id
3,0.626,0.0848,100.041,0.0432,0.0969,3.12e-05,4,0.774,3,211475,-4.4319999999999995,0.777,0,4iLqG9SeJSnt0cSPICSjxv,4,Attention,Charlie Puth,43547,2017-08-27,4iLqG9SeJSnt0cSPICSjxv
17603,0.809,0.147,123.911,0.0602,0.524,0.0,4,0.6920000000000001,2,190800,-4.198,0.8640000000000001,1,6LsAAHotRLMOHfCsSfYCsz,4,If I Can't Have You,Shawn Mendes,168566,2019-05-05,6LsAAHotRLMOHfCsSfYCsz
1803,0.802,0.177,124.98899999999999,0.0394,0.139,0.0,4,0.715,11,197993,-4.647,0.327,0,7EmGUiUaOSGDnUUQUDrOXC,4,Wolves,Selena Gomez,48848,2017-10-29,7EmGUiUaOSGDnUUQUDrOXC
18803,0.6779999999999999,0.0596,85.025,0.0507,0.00838,0.0,4,0.769,2,171387,-5.604,0.706,1,29fRTIKsJhLUJoldM89GZS,4,You Need To Calm Down,Taylor Swift,156285,2019-06-16,29fRTIKsJhLUJoldM89GZS
17003,0.703,0.132,105.766,0.444,0.0104,0.0,4,0.638,7,226321,-7.874,0.261,1,6KUE0HSSudAp9AOycaF6SH,4,Make It Right,BTS,258880,2019-04-14,6KUE0HSSudAp9AOycaF6SH
24603,0.514,0.11599999999999999,145.921,0.0897,0.366,0.0,4,0.687,9,210427,-6.612,0.494,0,41L3O37CECZt3N7ziG2z7l,4,Yummy,Justin Bieber,372854,2020-01-05,41L3O37CECZt3N7ziG2z7l
16803,0.42200000000000004,0.0867,110.037,0.0267,0.444,0.0,4,0.561,4,191030,-4.998,0.182,0,32107DdzIGbVs9Pi54MuRS,4,Hope Not,BLACKPINK,214667,2019-04-07,32107DdzIGbVs9Pi54MuRS
25003,0.758,0.129,147.023,0.0851,0.13699999999999998,0.0,4,0.7190000000000001,2,198261,-5.167000000000001,0.49,0,24NuEDgyRIljwSyY0lsr7b,4,Black Swan,BTS,370519,2020-01-19,24NuEDgyRIljwSyY0lsr7b
18604,0.74,0.10099999999999999,141.94799999999998,0.0519,0.0967,0.0,4,0.735,0,187458,-3.8369999999999997,0.541,0,4c1WgUnHXq2LEncGHKgj1I,5,Dream Glow (BTS World Original Soundtrack) - Pt. 1,BTS,159138,2019-06-09,4c1WgUnHXq2LEncGHKgj1I
22004,0.835,0.857,123.024,0.0839,0.0139,0.0,4,0.74,10,251293,-3.425,0.535,0,5WrEilrRI5cIW0DxMvQYPZ,5,Jopping,SuperM,259582,2019-10-06,5WrEilrRI5cIW0DxMvQYPZ
